Country,Trade volume (kg),Production (kg N),Imports (kg),Exports (kg),IDR,Degree_imp,Degree_exp,PC_coldstress,PC_heatstress,countDGDH 26 C,countDGDH 27 C,countDGDH 28 C,countDGDH 29 C,countDGDH 30 C,countDGDL 6 C,countDGDL 7 C,countDGDL 8 C,countDGDL 9 C,countDGDL 10 C,countNGDL 0 C,countNGDL 1 C,countNGDL 2 C,countNGDL 3 C,countNGDL 4 C,countPREH,countPREL
Afghanistan,936471116.5,85289450.92,936472627.5,1511,17.63503072,41,5,222.8724179,3787.64485,54.04609985,48.25351143,42.27555161,36.3423563,30.74171104,0.06274994,0.100240897,0.186648059,0.393064759,0.789132491,1.612083265,2.691220394,4.483644223,6.784431601,9.382615995,32.20876083,87.70251236
Albania,305039369,5602630.44,305517063,477694,51.49614883,47,18,314.2625531,1491.229425,16.39139261,12.40995116,9.043198204,6.745829868,4.44772774,0.845454205,1.546293643,2.257572824,3.295507264,5.077981973,1.960853846,2.822623956,4.300214767,6.133514428,9.3652565,67.6644516,80.95067215
Algeria,6069373284,50827287.97,6082504732,13131448,69.95669238,63,26,195.5840957,3110.23064,42.19831104,36.32037354,30.48801384,24.92737503,20.08277388,0.235276246,0.496775231,0.839892475,1.382645291,2.035642719,0.83807151,1.577950108,3.007502013,5.03512485,7.840796995,56.26298752,99.44453049
Angola,417777514,74883.05539,418779458,1001944,99.08918507,52,3,0,2126.845383,42.83022165,32.77508078,25.33154125,19.9452776,16.05320249,0,0,0,0,0,0,0,0,0,0,117.9188629,31.77274885
Argentina,-7067689262,255276976.9,11379509,7260498158,-124.0860709,42,86,2.97557653,5680.379103,93.46015053,81.81066074,69.57863846,57.03998871,45.16085577,0.003091753,0.006684323,0.012663751,0.0222111,0.035851868,0.008629008,0.018296158,0.034569762,0.06273427,0.149306388,72.79601307,98.29733772
Armenia,333104864,4815106.352,334096240,991376,57.42856652,45,11,3331.039354,855.7745416,3.674714959,1.906565079,1.020433424,0.514502434,0.176885501,15.5690011,19.74451332,24.79200335,29.86118345,35.5284935,43.27105865,49.12700806,55.07753792,60.74109612,66.97652092,90.26844254,72.43875847
Australia,-8453636687,450113763.6,117822818,8591728816,-58.0052869,77,78,301.2298925,2934.435447,25.97931042,20.2993041,15.53881025,11.47460637,8.391770554,0.005428153,0.023495519,0.105557666,0.383651973,1.095774257,0.865349373,2.201320714,4.826465273,9.516728687,16.66550331,76.41149597,176.2395691
Austria,-131959990.5,30955850.24,701660703.5,846322293.5,-10.02632342,60,85,2109.370974,957.0619615,5.756133866,3.927862787,2.734076166,1.755582607,0.908665752,10.78255408,13.71825981,17.06053944,20.94653845,25.00200977,21.38536062,27.26132793,33.11516323,39.22303848,45.14512901,85.20345688,72.27243729
Azerbaijan,1262126363,32011663.46,1281538383,19423980.5,43.46515866,55,15,1586.177882,2002.304971,25.10961208,19.83730354,15.7487464,12.45520992,9.246687651,6.231259501,8.38802489,10.71565839,13.42765729,16.48655238,17.23766155,21.73033514,26.66008377,31.84740543,37.66144142,79.42746811,86.76893387
Bangladesh,2581149790,19236619.97,2584611824,3540566,72.34826989,46,33,0,7752.529087,139.9197647,133.8487839,118.3792923,92.3307991,60.38567352,0,0,0,0,0,0,0,0,0,0,115.007827,44.14636803
Belarus,179902571,36504688.77,197036191,17482248,8.751943973,44,34,58.53860368,1394.100605,22.99608984,16.22120261,10.48449626,6.736078155,4.12264086,0.015303603,0.055052446,0.130354383,0.30815846,0.55160865,0.250499747,0.553553125,0.928199894,1.59432973,2.568260205,71.96421967,59.93324242
Belgium,2322072051,35014971.16,3893590973,1666703974,55.3604053,74,108,1099.746667,1059.653778,5.556220913,3.651305786,2.557095411,1.589826012,0.973019093,3.968947226,5.86077773,7.987483966,10.64283783,14.0831573,8.89679985,12.29185829,16.63930683,22.33119841,29.12519321,75.77384224,82.8218399
Bhutan,2500907,125557.8856,2892111,419843,27.74358481,7,2,114.1987815,501.6609566,3.701071274,0.947436287,0.064289165,0,0,0.739420921,0.938041973,1.142562658,1.37854805,1.638131976,1.270388067,1.34904989,1.510306573,1.661056566,2.147060454,121.7623604,42.64594574
Bosnia and Herzegovina,310009475.5,4480629.367,333191792,23504091.5,57.40660173,44,31,1302.497442,1109.457745,9.449644375,7.153175116,5.108686477,3.248496079,1.836626278,5.446232688,7.481811333,9.926135254,12.83293281,16.0542572,12.17086325,15.40669851,19.95499105,25.53529949,31.53335133,81.40305176,72.43281021
Brazil,5747956531,98139962.02,6463106732,840698140,52.76667038,53,94,0.042919871,5122.918671,101.9137783,84.88764343,66.16679459,47.71906433,31.46950855,0,0,0,0,0,0,0,0,0.001689716,0.003378633,97.93116531,75.38515091
Bulgaria,-1548469826,83923705.16,44304523,1647762814,-59.38027429,56,86,762.1981283,1709.734288,24.36683006,18.56179781,13.17645788,9.022368455,5.951429796,2.699233096,3.787720153,5.090048242,6.594203711,8.603415656,7.269842863,9.652762055,12.16851063,15.57538643,19.94288549,75.9984108,75.48321648
