,Trade (log(kg)),Exporting country,Importing country,Cold_stress,Heat_Stress,STS,GDP per capita,GDP ,GATT_WTO,Production,RTA,Distance,Contiguity,offLang
2,0,Albania,Afghanistan,91.3901352,-2296.415425,-0.009450811,4442.47883,20.24107763,1,-79686820.48,0,13712,0,0
3,0,Algeria,Afghanistan,-27.28832221,-677.4142107,-0.423185057,4971.08933,21.38550773,0,-34462162.95,0,16766,0,0
4,0,Angola,Afghanistan,-222.8724179,-1660.799467,0.138249135,3883.607585,21.07494547,1,-85214567.86,0,20380,0,0
5,0,Argentina,Afghanistan,-219.8968414,1892.734253,0.195214852,10486.99954,21.79308005,1,169987526,0,7149,0,0
6,0,Armenia,Afghanistan,3108.166936,-2931.870309,-0.593085671,3858.688843,20.16763376,1,-80474344.56,0,10408,0,0
7,1.963787827,Australia,Afghanistan,78.35747462,-853.2094035,-0.187351063,52431.94653,22.23628125,1,364824312.7,0,1732,0,0
8,3.281487888,Austria,Afghanistan,1886.498556,-2830.582889,-0.660489383,47641.06452,21.7765025,1,-54333600.68,0,14301,0,0
9,4.07776749,Azerbaijan,Afghanistan,1363.305464,-1785.339879,0.572845181,5747.5021,20.85442056,0,-53277787.45,0,9558,0,0
10,0,Bangladesh,Afghanistan,-222.8724179,3964.884237,-0.546392513,1273.022203,21.23870194,1,-66052830.94,1,10900,0,0
11,4.885965871,Belarus,Afghanistan,-164.3338142,-2393.544246,0.166345856,6227.803719,20.91539511,0,-48784762.14,0,12870,0,0
12,4.447080472,Belgium,Afghanistan,876.8742493,-2727.991073,-0.202622685,44765.96182,21.86249394,1,-50274479.76,0,15883,0,0
13,0,Bhutan,Afghanistan,-108.6736364,-3285.983894,0.188494431,2586.008459,19.35601468,0,-85163893.03,1,10499,0,0
14,0,Bosnia and Herzegovina,Afghanistan,1079.625024,-2678.187105,0.061804194,5084.140453,20.4084922,0,-80808821.55,0,13926,0,0
15,0,Brazil,Afghanistan,-222.8294981,1335.27382,-0.432043592,11415.56263,22.51047142,1,12850511.11,0,4755,0,0
16,5.092843408,Bulgaria,Afghanistan,539.3257104,-2077.910563,-0.497572461,7225.152089,20.87726895,1,-1365745.754,0,12943,0,0
17,0,Burundi,Afghanistan,-222.8724179,-3242.867271,0.25349177,752.6116775,19.48205201,1,-85136642.34,0,16915,0,0
